,close,high,low,open,symbol,volume,id,key,subkey,updated,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,date,change,changePercent
2019-09-11,300.25,300.34,297.75,298.47,SPY,68821066,HISTORICAL_PRICES,SPY,,1648509490000,1.1201101539330602,1.1201101539330602,298.47,300.25,300.34,297.75,68821066,285.5202,287.2229,287.309,284.8314,68821066,"Sep 11, 19",2.1200000000000045,0.0071
2019-09-12,301.29,302.46,300.41,301.25,SPY,72908745,HISTORICAL_PRICES,SPY,,1648509768000,1.1274537494704138,1.1274537494704138,301.25,301.29,302.46,300.41,72908745,288.1796,288.2178,289.3371,287.376,72908745,"Sep 12, 19",1.0400000000000205,0.0035
2019-09-13,301.09,302.17,300.68,301.78,SPY,62104838,HISTORICAL_PRICES,SPY,,1648509490000,1.126041519559384,1.126041519559384,301.78,301.09,302.17,300.68,62104838,288.6866,288.0265,289.0596,287.6343,62104838,"Sep 13, 19",-0.20000000000004547,-0.0007
2019-09-16,300.16,301.1378,299.45,299.84,SPY,58191175,HISTORICAL_PRICES,SPY,,1648509768000,1.119474650473097,1.119474650473097,299.84,300.16,301.1378,299.45,58191175,286.8307,287.1368,288.0722,286.4576,58191175,"Sep 16, 19",-0.92999999999995,-0.0031
2019-09-17,300.92,301.02,299.75,299.94,SPY,42904427,HISTORICAL_PRICES,SPY,,1648509630000,1.1248411241350091,1.1248411241350091,299.94,300.92,301.02,299.75,42904427,286.9264,287.8639,287.9595,286.7446,42904427,"Sep 17, 19",0.7599999999999909,0.0025
2019-09-18,301.1,301.22,298.24,300.49,SPY,74192091,HISTORICAL_PRICES,SPY,,1648509731000,1.1261121310549358,1.1261121310549358,300.49,301.1,301.22,298.24,74192091,287.4525,288.0361,288.1509,285.3001,74192091,"Sep 18, 19",0.18000000000000682,0.0006
2019-09-19,301.08,302.63,300.7103,301.53,SPY,78099215,HISTORICAL_PRICES,SPY,,1648509490000,1.1259709080638327,1.1259709080638327,301.53,301.08,302.63,300.7103,78099215,288.4474,288.0169,289.4997,287.6633,78099215,"Sep 19, 19",-0.020000000000038654,-0.0001
2019-09-20,298.28,300.67,297.41,300.36,SPY,97455979,HISTORICAL_PRICES,SPY,,1648509446000,1.1061996893094193,1.1061996893094193,300.36,298.28,300.67,297.41,97455979,288.6547,286.6557,288.9526,285.8197,97455979,"Sep 20, 19",-2.8000000000000114,-0.0093
2019-09-23,298.21,299,297.27,297.55,SPY,47541321,HISTORICAL_PRICES,SPY,,1648509731000,1.1057054088405591,1.1057054088405591,297.55,298.21,299,297.27,47541321,285.9542,286.5885,287.3477,285.6851,47541321,"Sep 23, 19",-0.06999999999999318,-0.0002
2019-09-24,295.87,299.84,294.81,299.41,SPY,97367568,HISTORICAL_PRICES,SPY,,1648509789000,1.089182318881514,1.089182318881514,299.41,295.87,299.84,294.81,97367568,287.7417,284.3397,288.155,283.321,97367568,"Sep 24, 19",-2.339999999999975,-0.0078
